epoch,GPU,batchNum,modelCutID_T,allDelay,SendSrunModelReci,CModelDelay
2,0,3,0,4291,4167,124
2,0,3,1,44109,44063,46
2,0,3,2,44616,44384,232
2,0,3,3,12981,12661,320
2,0,3,4,22849,22502,347
2,0,3,5,22706,22227,479
2,0,3,6,7446,6932,514
2,0,3,7,12142,11599,543
2,0,3,8,12082,11443,639
2,0,3,9,11917,11203,714
2,0,3,10,4748,4015,733
2,0,3,11,7042,6242,800
2,0,3,12,6597,5722,875
2,0,3,13,6967,6013,954
2,0,3,14,3364,2389,975
2,0,3,15,3093,2075,1018
2,0,3,16,3023,1997,1026
2,0,3,17,3003,1967,1036
2,0,3,18,2325,1277,1048
2,0,3,19,2143,404,1739
2,0,3,20,2060,196,1864
2,0,3,21,2067,140,1927
2,0,3,22,2075,133,1942
2,1,3,0,3483,3312,171
2,1,3,1,43323,43278,45
2,1,3,2,44071,43823,248
2,1,3,3,12318,12018,300
2,1,3,4,22055,21702,353
2,1,3,5,22367,21896,471
2,1,3,6,7187,6688,499
2,1,3,7,11718,11172,546
2,1,3,8,11934,11272,662
2,1,3,9,11876,11152,724
2,1,3,10,4668,3907,761
2,1,3,11,6599,5828,771
2,1,3,12,6681,5827,854
2,1,3,13,6727,5826,901
2,1,3,14,3513,2607,906
2,1,3,15,3154,2204,950
2,1,3,16,3115,2097,1018
2,1,3,17,3269,2251,1018
2,1,3,18,2547,1514,1033
2,1,3,19,2006,294,1712
2,1,3,20,2072,204,1868
2,1,3,21,2048,135,1913
2,1,3,22,2057,136,1921
2,0,4,0,4885,4722,163
2,0,4,1,58253,58197,56
2,0,4,2,58939,58679,260
2,0,4,3,16538,16187,351
2,0,4,4,30144,29735,409
2,0,4,5,29673,29118,555
2,0,4,6,9307,8719,588
2,0,4,7,15390,14754,636
2,0,4,8,15541,14838,703
2,0,4,9,15381,14574,807
2,0,4,10,5690,4874,816
2,0,4,11,8281,7375,906
2,0,4,12,8106,7157,949
2,0,4,13,8204,7157,1047
2,0,4,14,3854,2766,1088
2,0,4,15,3451,2313,1138
2,0,4,16,3456,2316,1139
2,0,4,17,3386,2226,1160
2,0,4,18,2588,1383,1205
2,0,4,19,2152,316,1836
2,0,4,20,2202,188,2014
2,0,4,21,2199,139,2060
2,0,4,22,2193,141,2052
2,1,4,0,4123,3911,212
2,1,4,1,57621,57571,50
2,1,4,2,57669,57428,241
2,1,4,3,15829,15501,328
2,1,4,4,29156,28756,400
2,1,4,5,29447,28908,539
2,1,4,6,9471,8900,571
2,1,4,7,15288,14652,636
2,1,4,8,15360,14644,716
2,1,4,9,15282,14474,808
2,1,4,10,5519,4719,800
